x;y;distance_to_neighbour;km;qsim_id;comment;
13.097551;52.4231867;0;0;;;
13.0980033;52.4235865;0.054069427;0.1;;;
13.0983662;52.4243154;0.084798096;0.1;;;
13.0984122;52.4246394;0.036202438;0.2;;;
13.09944;52.4252463;0.097119253;0.3;;;
13.0999569;52.4253343;0.036430072;0.3;;;
13.1001749;52.4252993;0.015302603;0.3;;;
13.1008918;52.4250973;0.053608823;0.4;;;
13.1015811;52.4248619;0.053629499;0.4;;;
13.1023;52.4247816;0.049612897;0.5;;;
13.1029064;52.4248179;0.041362034;0.5;;;
13.1033625;52.4249167;0.032856779;0.6;;;
13.1039359;52.4250197;0.040577531;0.6;;;
13.1056439;52.4254684;0.126244342;0.7;;;
13.1070022;52.4259386;0.106024516;0.8;;;
13.1084496;52.4266272;0.124615651;1;;;
13.1088789;52.4268653;0.039391775;1;;;
13.1107391;52.4280082;0.179249459;1.2;;;
13.1122219;52.4292063;0.167087053;1.3;;;
13.1134113;52.4308238;0.197328987;1.5;;;
13.1138311;52.4319617;0.129835479;1.7;;;
13.1143439;52.4333518;0.158610882;1.8;;;
13.1154758;52.4355116;0.252402121;2.1;;;
13.116156;52.4366616;0.136085996;2.2;;;
13.1172301;52.4379974;0.165605384;2.4;;;
13.1188264;52.4391746;0.170022721;2.5;;;
13.120076;52.4398432;0.112828546;2.7;;;
13.1214641;52.4403642;0.110618695;2.8;;;
13.1252173;52.4411683;0.269957775;3;;;
13.1312935;52.4422358;0.429094821;3.5;;;
13.1312935;52.4422358;0;3.5;;;
13.1354983;52.4430375;0.298950193;3.8;;;
13.1415966;52.4442852;0.436481342;4.2;;;
13.1465035;52.4456654;0.366683217;4.6;;;
13.1475526;52.4459911;0.079883798;4.7;;;
13.1475526;52.4459911;0;4.7;;;
13.1504814;52.4468465;0.22035457;4.9;;;
13.1552674;52.4481939;0.357687854;5.2;;;
13.1591579;52.4499198;0.326471561;5.6;;;
13.1627132;52.4515042;0.298808368;5.9;;;
13.1674429;52.4536997;0.403342811;6.3;;;
13.171426;52.4554748;0.334747509;6.6;;;
13.1781609;52.4586836;0.57991785;7.2;;;
13.1811162;52.4601387;0.257722192;7.4;;;
13.1837288;52.4616017;0.24067686;7.7;;;
13.1846701;52.4621605;0.089138142;7.8;;;
13.1856924;52.4645453;0.274379849;8;;;
13.1858646;52.4648237;0.033118863;8.1;;;
13.1864648;52.4665793;0.199626646;8.3;;;
13.1875036;52.4691492;0.294626269;8.6;;;
13.1880611;52.4705799;0.163690466;8.7;;;
13.1882767;52.4715043;0.10393714;8.8;;;
13.1884398;52.4726911;0.132576095;9;;;
13.1878132;52.4748608;0.245238524;9.2;;;
13.1875929;52.4774278;0.286147266;9.5;;;
13.1883078;52.479197;0.202823307;9.7;;;
13.1888432;52.4801669;0.113907374;9.8;;;
13.190062;52.4822526;0.246444292;10.1;;;
13.1902422;52.4832405;0.11064898;10.2;;;
13.1899857;52.4847277;0.166465024;10.3;;;
13.1896735;52.4859035;0.132589448;10.5;;;
13.1894557;52.4867997;0.100851097;10.6;;;
13.1889519;52.4885759;0.2006532;10.8;;;
13.1890067;52.4897875;0.134925836;10.9;;;
13.1893832;52.491315;0.171944868;11.1;;;
13.1898296;52.4929082;0.179916592;11.3;;;
13.1907479;52.494483;0.186026637;11.4;;;
13.1910515;52.4950474;0.066112337;11.5;;;
13.191425;52.4955791;0.064374447;11.6;;;
13.1924358;52.4966472;0.137223253;11.7;;;
13.1934777;52.4976933;0.136186719;11.8;;;
13.1949747;52.4985723;0.140950352;12;;;
13.1966672;52.4995568;0.158639558;12.1;;;
13.1981262;52.5009837;0.187099647;12.3;;;
13.1982794;52.5012114;0.027391088;12.4;;;
13.1989716;52.5026816;0.170251046;12.5;;;
13.1991074;52.5029898;0.035521325;12.6;;;
13.1991074;52.5029898;0;12.6;UHW_S504.UHW_4;;
13.1997024;52.5043646;0.158263723;12.7;UHW_S504.UHW_3.9;;
13.2002751;52.5056893;0.152485377;12.9;UHW_S504.UHW_3.8;;
13.2004574;52.5059943;0.036129592;12.9;UHW_S504.UHW_3.7;;
13.2004574;52.5059943;0;12.9;UHW_S504.UHW_3.6;;
13.2019738;52.5084937;0.296596591;13.2;UHW_S504.UHW_3.5;;
13.2023865;52.5094611;0.111261391;13.3;UHW_S504.UHW_3.3;;
13.2024902;52.5097336;0.031137581;13.4;UHW_S504.UHW_3.2;;
13.2030505;52.5114631;0.196233747;13.5;UHW_S504.UHW_3.1;;
13.203227;52.5119992;0.060864564;13.6;UHW_S504.UHW_3;;
13.2035048;52.5128899;0.100922635;13.7;UHW_S504.UHW_2.9;;
13.2040094;52.514508;0.183341173;13.9;UHW_S504.UHW_2.8;;
13.2053134;52.5172284;0.315454361;14.2;UHW_S504.UHW_2.6;;
13.2059063;52.5185193;0.149209263;14.4;UHW_S504.UHW_2.3;;
13.2061042;52.5193335;0.091622305;14.4;UHW_S503.UHW_2.2;Südhafen Spandau;
13.2061773;52.5202174;0.098519807;14.5;UHW_S503.UHW_2.1;;
13.2061116;52.5208634;0.072049958;14.6;UHW_S503.UHW_2;;
13.2056316;52.5222744;0.160401354;14.8;UHW_S503.UHW_1.9;;
13.2048155;52.5240856;0.209061607;15;UHW_S503.UHW_1.7;;
13.2046074;52.5243364;0.031274955;15;UHW_S503.UHW_1.6;;
13.2028582;52.5262087;0.239740415;15.3;UHW_S503.UHW_1.5;;
13.200856;52.5284348;0.282481842;15.5;UHW_S503.UHW_1.2;;
13.2004354;52.529238;0.093839315;15.6;UHW_S503.UHW_1;;
13.2002486;52.5299673;0.082164987;15.7;UHW_S503.UHW_0.9;;
13.2002837;52.5304197;0.050417002;15.8;UHW_S503.UHW_0.8;;
13.2002948;52.5307141;0.032781078;15.8;;;
13.2003883;52.5310134;0.033914234;15.8;UHW_S503.UHW_0.7;;
13.2006356;52.5315423;0.061212287;15.9;;;
13.2010092;52.5319984;0.056726905;16;UHW_S503.UHW_0.6;;
13.2019917;52.5328215;0.11323439;16.1;UHW_S503.UHW_0.5;;
13.2026576;52.5333471;0.073869214;16.1;UHW_S503.UHW_0.4;;
13.2035538;52.53385;0.082564425;16.2;UHW_S503.UHW_0.3;;
13.2052533;52.5346192;0.143441481;16.4;UHW_S503.UHW_0.2;;
13.20622;52.5350452;0.080831091;16.4;UHW_S503.UHW_0.1;;
13.2071841;52.535567;0.087382737;16.5;;;
13.2072617;52.5356042;0.006690139;16.5;UHW_S503.UHW_0;;
13.2072617;52.5356042;0;16.5;HOW_S530.HOW_0;Zufluss Spree;
13.2087123;52.5368781;0.17250381;16.7;HOW_S530.HOW_0.1;;
13.2093131;52.5377134;0.101494306;16.8;HOW_S530.HOW_0.2;;
13.2094548;52.5380578;0.039520706;16.9;HOW_S530.HOW_0.3;;
13.2095296;52.5384626;0.045345841;16.9;HOW_S530.HOW_0.4;;
13.2095706;52.5388358;0.041637077;16.9;;;
13.2094161;52.5393996;0.063627711;17;HOW_S530.HOW_0.5;;
13.2092234;52.5399337;0.060870412;17.1;HOW_S530.HOW_0.55;;
13.2092234;52.5399337;0;17.1;;;
13.2089192;52.541217;0.144333315;17.2;;;
13.2089192;52.541217;0;17.2;;;
13.2086905;52.5422473;0.115732903;17.3;;;
13.2086562;52.5426492;0.044799528;17.4;;;
13.2088622;52.5429102;0.032228248;17.4;;;
13.2093428;52.5432077;0.046426535;17.5;;;
13.2098235;52.5433121;0.034556435;17.5;;;
13.2102183;52.5433956;0.028298193;17.5;;;
13.2105562;52.5435585;0.029191492;17.5;;;
13.2120208;52.5445597;0.14917413;17.7;;;
13.2132937;52.5454658;0.132663982;17.8;;;
13.2138667;52.546038;0.07457868;17.9;;;
13.2141378;52.5465858;0.063682542;18;;;
13.2143837;52.5471608;0.066137799;18;;;
13.214733;52.5479524;0.091237762;18.1;;;
13.2153905;52.549265;0.152746128;18.3;;;
13.2162496;52.5508423;0.184963556;18.5;;;
13.2169959;52.5513926;0.079400976;18.5;;;
13.2177139;52.552017;0.084813062;18.6;;;
13.2190812;52.552818;0.1285136;18.8;;;
13.2196189;52.5531107;0.04884894;18.8;;;
13.2207452;52.5537239;0.102328308;18.9;;;
13.221179;52.5540479;0.046507534;18.9;;;
13.2215466;52.55454;0.060165745;19;;;
13.2221095;52.555767;0.141802787;19.1;;;
13.2226205;52.5567454;0.114274103;19.3;;;
13.2229164;52.557416;0.077290354;19.3;;;
13.2231368;52.5581632;0.084504794;19.4;;;
13.2236924;52.5590454;0.105158334;19.5;;;
13.2240675;52.5595031;0.056924527;19.6;;;
13.224329;52.5598195;0.039417477;19.6;;;
13.2260541;52.5609936;0.175247682;19.8;;;
13.227333;52.5616667;0.114475484;19.9;;;
13.2277449;52.5620006;0.046460037;20;;;
13.2277449;52.5620006;0;20;;;
13.2278394;52.5623032;0.034286922;20;;;
13.2278145;52.5624136;0.012404647;20;;;
13.2277535;52.5626841;0.030393543;20;;;
13.2275733;52.5633467;0.074761469;20.1;;;
13.2275733;52.5633467;0;20.1;;;
13.227393;52.5641502;0.090273485;20.2;;;
13.2276419;52.5652354;0.121972336;20.3;;;
13.2277535;52.5659554;0.080504988;20.4;;;
13.2272104;52.5674445;0.169790351;20.6;;;Zufluss Stoessenbr.
13.2269466;52.5679302;0.056938005;20.6;;;
13.2266439;52.568487;0.065278903;20.7;;;
13.226181;52.570061;0.177994075;20.9;;;
13.2256763;52.5713018;0.142283503;21;;;
13.2252481;52.5723866;0.124185798;21.1;;;
13.2251452;52.5728381;0.050740598;21.2;;;
13.2249772;52.5730295;0.024148586;21.2;;;
13.2248189;52.5731889;0.020725785;21.2;;;
13.2246889;52.5733197;0.01701068;21.3;;;
13.2244996;52.5734534;0.01963497;21.3;;;
13.2234696;52.5742619;0.113824448;21.4;;;
13.2216167;52.5754506;0.182271926;21.6;;;
13.2198218;52.5766092;0.177139526;21.8;;;
13.2186287;52.5776784;0.143807763;21.9;;;
13.2183198;52.5781505;0.056555842;22;;;
13.2180923;52.5786123;0.05366145;22;;;
13.217911;52.5791265;0.058539569;22.1;;;
13.2178563;52.5809851;0.206931489;22.3;;;
13.2176846;52.5820595;0.120164231;22.4;;;
13.2177089;52.583681;0.180512037;22.6;;;
13.2176448;52.5849714;0.143712083;22.7;;;
13.2176135;52.5855324;0.062486106;22.8;;;
13.2175532;52.5863571;0.091895728;22.9;;;
13.2174214;52.5873527;0.111187585;23;;;
13.2174271;52.589136;0.198516422;23.2;;;
13.2175189;52.5919645;0.314928377;23.5;;;
13.2172315;52.5926064;0.074051937;23.6;;;
13.2166435;52.5934143;0.098332984;23.7;;;
13.2152127;52.5943345;0.140905951;23.8;;;
13.2116063;52.5968755;0.373471038;24.2;;;
13.2099782;52.5983115;0.194094225;24.4;;;
13.2091562;52.5989831;0.093158216;24.5;;;
13.2081864;52.5996632;0.10015703;24.6;;;
13.2063016;52.6008427;0.182975211;24.8;;;
13.2027672;52.6031294;0.349141285;25.1;;;
13.201557;52.6041406;0.139159549;25.2;;;
13.2007073;52.6056366;0.176162966;25.4;;;
13.200733;52.6062257;0.065601323;25.5;;;
13.2009905;52.606945;0.081942478;25.6;;;
13.2012105;52.6072012;0.032164918;25.6;;;
13.2017339;52.6075243;0.050453694;25.6;;;
13.2022522;52.6077424;0.042627362;25.7;;;
13.202999;52.6079822;0.05710728;25.7;;;
13.2049902;52.6086963;0.156325493;25.9;;;
13.2061661;52.6093269;0.106048807;26;;;
13.2068442;52.6099784;0.085796022;26.1;;;
13.2078398;52.6110938;0.141231379;26.2;;;
13.2098061;52.6133893;0.288032278;26.5;;;
13.2100149;52.6144354;0.117303403;26.6;;;
13.2099781;52.6147582;0.036019914;26.7;;;
13.2099115;52.6160154;0.140023238;26.8;;;
13.2108294;52.6177564;0.203494316;27;;;
13.2112614;52.6187764;0.117239518;27.1;;;
