x;y;distance_to_neighbour;km;id_qsim;comment
13.4390846;52.4906314;0;0;NSK_S201.Nsk_0;Ob Abzweig LWK
13.4394402;52.489675;0.109160305;0.1;;
13.4394541;52.4896358;0.00446428;0.1;;
13.4394921;52.4895416;0.010798006;0.1;;
13.4397285;52.4889224;0.07076709;0.2;NSK_S201.Nsk_0.2;
13.4401026;52.4878694;0.119930973;0.3;;
13.4403436;52.4873949;0.055289672;0.4;;
13.4405102;52.4871396;0.030581471;0.4;;
13.4408944;52.4867995;0.045952595;0.4;;
13.4414115;52.4864713;0.050631229;0.5;NSK_S201.Nsk_0.465;
13.443965;52.4852038;0.223319698;0.7;NSK_S201.Nsk_0.73;
13.4444444;52.4849615;0.042233654;0.8;;
13.4469926;52.4836501;0.226169096;1;NSK_S201.Nsk_0.95;
13.4520087;52.4810606;0.445799725;1.4;NSK_S201.Nsk_1.4;
13.4553175;52.479379;0.292173111;1.7;NSK_S201.Nsk_1.7;
13.4573513;52.4783424;0.17980434;1.9;NSK_S201.Nsk_1.9;
13.4577951;52.478103;0.040194754;1.9;;
13.4583681;52.477583;0.069714648;2;;
13.4584945;52.4766938;0.099355605;2.1;NSK_S201.Nsk_2.25;
13.4577072;52.4729735;0.417568334;2.5;NSK_S201.Nsk_2.6;
13.4572257;52.4705571;0.270966775;2.8;;
13.4570108;52.4702678;0.035348477;2.8;NSK_S201.Nsk_2.9;
13.456081;52.4691108;0.143402522;3;;
13.4558795;52.4688577;0.031313769;3;;
13.4542227;52.4667583;0.259310769;3.3;NSK_S201.Nsk_3.25;
13.4542227;52.4667583;0;3.3;;
13.4537363;52.4661414;0.0761848;3.4;;
13.4537363;52.4661414;0;3.4;;
13.4531488;52.4654836;0.08336421;3.4;;
13.4530662;52.4652692;0.024515522;3.5;;
13.4527948;52.4647515;0.060498194;3.5;;
13.4527197;52.4643397;0.046123461;3.6;;
13.4527087;52.4639055;0.04834068;3.6;;
13.4527733;52.4635096;0.044288638;3.7;;
13.452945;52.4631631;0.040291784;3.7;;
13.4535029;52.4624768;0.08525576;3.8;;
13.4549035;52.4610408;0.18595157;4;;
13.4553056;52.4606098;0.055188708;4;;
13.4554335;52.4603299;0.032343472;4.1;;
13.4557305;52.4596799;0.075109637;4.1;;
13.4559204;52.4592219;0.052586283;4.2;;
